工号,姓名,部门,职级,岗位,职族,绩效,司龄(年),固定浮动比,薪资,年度总现金(元),评估,下限,中位值,上限,P25,P50,P75,入职日期,备注
E0001,宋**,产品技术部,P3,技术专家,技术,B,2.6,67:33,19900.0,,385.0,10500.0,15700.0,20800.0,12300.0,15400.0,18100.0,,
E0002,黄**,设备技术部,P3,高级工程师,技术,B,2.1,67:33,11400.0,159400.0,515.0,10700.0,15500.0,20200.0,12600.0,15200.0,17600.0,,
E0003,张**,仓储物流部,P2,检验员,操作,A,1.4,78:22,10400.0,138500.0,270.0,8100.0,11000.0,14600.0,9500.0,10800.0,12700.0,,
E0004,陈**,产品技术部,P6,研发架构师,技术,D,5.0,64:36,26700.0,385000.0,904.0,24800.0,36100.0,50000.0,29200.0,35400.0,43500.0,,
E0005,孙**,运营管理部,M2,总监,管理,D,1.1,,52000.0,702800.0,,44100.0,63400.0,86600.0,51900.0,62200.0,75300.0,,
E0006,刘**,事业部管理,P5,事业部负责人,管理,B,4.7,55:45,24500.0,349700.0,743.0,19700.0,29000.0,39700.0,23200.0,28400.0,34500.0,,
E0007,周**,运营管理部,P5,部门经理,管理,C,5.1,,23600.0,341800.0,811.0,19400.0,28200.0,36600.0,22800.0,27600.0,31800.0,,
E0008,罗**,生产制造部,P1,操作工,操作,B,0.2,,9800.0,125500.0,,5500.0,8200.0,11000.0,6500.0,8000.0,9600.0,,
E0009,朱**,事业部管理,M2,总监,管理,B,0.3,,61300.0,999400.0,,45000.0,64500.0,86500.0,52900.0,63200.0,75200.0,,
E0010,胡**,研发中心,P3,技术专家,技术,B,5.9,67:33,16000.0,200800.0,544.0,10100.0,15200.0,20900.0,11900.0,14900.0,18200.0,,
E0011,曹**,渠道发展部,P3,高级客户经理,销售,B,3.8,,16900.0,251700.0,,10600.0,14900.0,20800.0,12500.0,14600.0,18100.0,,
E0012,朱**,厂务部,P2,生产线技工,操作,B,3.2,78:22,11300.0,144900.0,424.0,8000.0,11300.0,15100.0,9400.0,11100.0,13100.0,,
E0013,许**,仓储物流部,P1,操作工,操作,B,3.3,,7700.0,106300.0,,5600.0,8200.0,11400.0,6600.0,8000.0,9900.0,,
E0014,周**,大客户部,P5,高级客户经理,销售,B,6.7,35:65,24700.0,352000.0,803.0,20700.0,28700.0,39300.0,24400.0,28100.0,34200.0,,
E0015,谢**,总经办,M3,事业部总经理,管理,C,0.9,,71700.0,1163400.0,1414.0,63200.0,91400.0,125100.0,74400.0,89600.0,108800.0,,
