入职日期,带宽中位值,备注,职族,数据状态,员工姓名,市场中位值,年度总现金(元),岗位评估得分,司龄(年),基本工资(元/月),市场25分位,固定浮动比,带宽上限,所属部门,上年度绩效,市场75分位,岗位,职务级别,工号,带宽下限
2019-07-01,,,技术,有效,宋**,15400.0,,385.0,2.6,19900.0,12300.0,67:33,,产品技术部,B,18100.0,技术专家,P3,E0001,
2019-07-01,,,技术,有效,黄**,15200.0,159400.0,515.0,2.1,11400.0,12600.0,67:33,,设备技术部,B,17600.0,高级工程师,P3,E0002,
2019-07-01,,,操作,有效,张**,10800.0,138500.0,270.0,1.4,10400.0,9500.0,78:22,,仓储物流部,A,12700.0,检验员,P2,E0003,
2019-07-01,,,技术,有效,陈**,35400.0,385000.0,904.0,5.0,待定,29200.0,64:36,,产品技术部,D,43500.0,研发架构师,P6,E0004,
2019-07-01,,,管理,有效,孙**,62200.0,702800.0,,1.1,52000.0,51900.0,,,运营管理部,D,75300.0,总监,M2,E0005,
2019-07-01,,,管理,有效,刘**,28400.0,349700.0,743.0,4.7,24500.0,23200.0,55:45,,事业部管理,a+,34500.0,事业部负责人,P5,E0006,
2019-07-01,,,管理,有效,周**,27600.0,341800.0,811.0,5.1,23600.0,22800.0,,,运营管理部,C,31800.0,部门经理,P5,E0007,
2019-07-01,,,操作,有效,罗**,8000.0,125500.0,,0.2,—,6500.0,,,生产制造部,B,9600.0,操作工,P1,E0008,
2019-07-01,,,管理,有效,朱**,63200.0,999400.0,,0.3,61300.0,52900.0,,,事业部管理,B,75200.0,总监,M2,E0009,
2019-07-01,,,技术,有效,胡**,14900.0,200800.0,544.0,5.9,16000.0,11900.0,67:33,,研发中心,B ,18200.0,技术专家,P3,E0010,
2019-07-01,,,销售,有效,曹**,14600.0,251700.0,,3.8,16900.0,12500.0,,,渠道发展部,B,18100.0,高级客户经理,P3,E0011,
2019-07-01,,,操作,有效,朱**,11100.0,144900.0,424.0,3.2,,9400.0,78:22,,厂务部,B,13100.0,生产线技工,P2,E0012,
2019-07-01,,,操作,有效,许**,8000.0,106300.0,,3.3,7700.0,6600.0,,,仓储物流部,B,9900.0,操作工,P1,E0013,
2019-07-01,,,销售,有效,周**,28100.0,352000.0,803.0,6.7,24700.0,24400.0,35:65,,大客户部,B,34200.0,高级客户经理,P5,E0014,
2019-07-01,,,管理,有效,谢**,89600.0,1163400.0,1414.0,0.9,71700.0,74400.0,,,总经办,C,108800.0,事业部总经理,M3,E0015,
2019-07-01,,,职能,有效,邓**,19600.0,310900.0,623.0,4.9,22400.0,16600.0,71:29,,法务合规部,B,22900.0,薪酬绩效经理,P4,E0016,
2019-07-01,,,操作,有效,周**,7700.0,118800.0,213.0,1.4,9300.0,6700.0,79:21,,质量管理部,C,9100.0,检验员,P1,E0017,
2019-07-01,,,技术,有效,刘**,20600.0,276300.0,638.0,5.7,18400.0,17900.0,66:34,,工艺工程部,B,25100.0,工程师,P4,E0018,
2019-07-01,,,技术,有效,韩**,11100.0,,,0.2,10900.0,9300.0,68:32,,工艺工程部,C,12800.0,初级开发工程师,P2,E0019,
2019-07-01,,,技术,有效,朱**,20600.0,386500.0,582.0,3.5,27900.0,,66:34,,工艺工程部,C,24800.0,工程师,P4,E0020,
2019-07-01,,,操作,有效,杨**,10600.0,,389.0,1.5,10600.0,9000.0,,,厂务部,C,12300.0,操作工,P2,E0021,
2019-07-01,,,技术,有效,何**,19300.0,366800.0,669.0,4.1,26100.0,16500.0,66:34,,研发中心,B,23700.0,工程师,P4,E0022,
2019-07-01,,,操作,有效,何**,11900.0,179700.0,295.0,0.2,14100.0,,78:22,,厂务部,C,13900.0,检验员,P2,E0023,
2019-07-01,,,职能,有效,黄**,14800.0,,428.0,3.5,10800.0,,72:28,,法务合规部,B,18400.0,薪酬绩效经理,P3,E0024,
2019-07-01,,,管理,有效,曹**,46100.0,825000.0,,0.2,51300.0,38700.0,,,事业部管理,B,56200.0,事业部负责人,M1,E0025,
2019-07-01,,,技术,有效,马**,14600.0,209600.0,,3.8,16500.0,12100.0,,,设备技术部,B,18100.0,技术专家,P3,E0026,
2019-07-01,,,管理,有效,梁**,44300.0,954000.0,,2.2,63800.0,37400.0,59:41,,总经办,B,51700.0,事业部负责人,M1,E0027,
2019-07-01,,,职能,有效,宋**,36500.0,596800.0,830.0,7.2,39000.0,29800.0,69:31,,法务合规部,B,43100.0,人力资源总监,P6,E0028,
2019-07-01,,,操作,有效,何**,11300.0,100600.0,344.0,1.1,8100.0,9500.0,78:22,,生产制造部,B,13300.0,操作工,P2,E0029,
2019-07-01,,,职能,有效,曹**,21000.0,322400.0,640.0,2.1,22000.0,17000.0,,,法务合规部,B,25000.0,财务主管,P4,E0030,
2019-07-01,,,操作,有效,邓**,8000.0,,,0.2,11000.0,6700.0,,,厂务部,A,9700.0,检验员,P1,E0031,
2019-07-01,,,管理,有效,李**,51600.0,589700.0,,0.2,39400.0,41600.0,59:41,,总经办,C,60600.0,部门经理,M1,E0032,
2019-07-01,,,操作,有效,冯**,8600.0,78200.0,232.0,0.2,5400.0,7000.0,79:21,,厂务部,B,10100.0,生产线技工,P1,E0033,
2019-07-01,,,管理,有效,胡**,91100.0,1348800.0,,3.2,93900.0,,57:43,,总经办,B,105900.0,总监,M3,E0034,
2019-07-01,,,职能,有效,孙**,15300.0,214100.0,447.0,0.5,14300.0,13300.0,,,法务合规部,C,17700.0,薪酬绩效经理,P3,E0035,
2019-07-01,,,操作,有效,宋**,8300.0,107400.0,276.0,1.3,8000.0,7100.0,79:21,,质量管理部,C,10200.0,生产线技工,P1,E0036,
2019-07-01,,,销售,有效,徐**,19700.0,403800.0,709.0,4.8,26600.0,17300.0,36:64,,渠道发展部,B,24000.0,高级客户经理,P4,E0037,
2019-07-01,,,销售,有效,胡**,14600.0,,,3.6,11800.0,12000.0,37:63,,销售一部,C,17100.0,高级客户经理,P3,E0038,
2019-07-01,,,销售,有效,林**,16300.0,209100.0,550.0,3.3,12900.0,13500.0,37:63,,大客户部,B,18800.0,高级客户经理,P3,E0039,
2019-07-01,,,技术,有效,陈**,15000.0,178200.0,,1.2,13800.0,12200.0,67:33,,研发中心,A,18200.0,工程师,P3,E0040,
2019-07-01,,,操作,有效,梁**,8200.0,137100.0,366.0,2.0,11400.0,,79:21,,质量管理部,B,10100.0,检验员,P1,E0041,
2019-07-01,,,职能,有效,许**,10800.0,143500.0,386.0,2.9,10600.0,8700.0,73:27,,财务部,B,12900.0,会计专员,P2,E0042,
2019-07-01,,,职能,有效,郭**,14000.0,154700.0,,0.6,11100.0,11800.0,72:28,,法务合规部,B,16800.0,人力资源主管,P3,E0043,
2019-07-01,,,技术,有效,张**,15300.0,222400.0,568.0,5.1,15900.0,13300.0,,,产品技术部,B,18300.0,工程师,P3,E0044,
2019-07-01,,,操作,有效,邓**,9900.0,127100.0,,0.8,9800.0,8400.0,78:22,,仓储物流部,A,12100.0,操作工,P2,E0045,
2019-07-01,,,销售,有效,梁**,18700.0,290700.0,623.0,5.3,20600.0,16100.0,36:64,,大客户部,C,23300.0,区域销售经理,P4,E0046,
2019-07-01,,,销售,有效,吴**,27500.0,387700.0,,7.6,26700.0,22700.0,35:65,,大客户部,C,33900.0,解决方案顾问,P5,E0047,
2019-07-01,,,操作,有效,何**,8300.0,96600.0,,0.9,7600.0,7200.0,79:21,,质量管理部,C,10200.0,操作工,P1,E0048,
2019-07-01,,,技术,有效,许**,15500.0,196100.0,,3.7,13700.0,13100.0,67:33,,产品技术部,B,18600.0,技术专家,P3,E0049,
2019-07-01,,,操作,有效,高**,7400.0,,265.0,0.2,10300.0,6300.0,,,质量管理部,C,9200.0,操作工,P1,E0050,
